aX,aY,aZ,gX,gY,gZ
1.76,11.96,9.45,-0.05,-0.55,0.15
2.06,11.96,8.41,-0.14,-0.56,0.20
1.96,12.89,7.36,-0.16,-0.54,0.22
1.45,13.51,6.17,-0.05,-0.48,0.22
0.93,13.68,5.26,0.11,-0.39,0.19
0.17,13.78,4.66,0.23,-0.31,0.18
-0.23,13.41,3.86,0.28,-0.29,0.27
-0.80,12.89,2.82,0.18,-0.29,0.46
-1.26,12.30,1.77,-0.04,-0.23,0.73
-1.78,11.36,0.31,-0.10,-0.16,0.89
-2.56,9.55,-1.06,-0.04,0.03,0.89
-2.96,8.17,-1.90,0.17,0.36,0.76
-3.05,6.21,-1.80,0.43,0.73,0.53
-2.81,4.26,-1.05,0.51,1.01,0.33
-2.39,2.92,-0.37,0.30,1.24,0.27
-2.21,2.14,0.56,0.03,1.43,0.32
-2.32,1.09,1.82,-0.18,1.60,0.30
-2.34,0.35,3.59,-0.32,1.72,0.23
-2.60,0.14,5.49,-0.43,1.82,0.10
-1.99,0.04,6.80,-0.46,1.93,-0.05
-1.75,-0.66,8.23,-0.44,2.02,-0.22
-1.26,-1.26,9.58,-0.44,2.11,-0.44
-1.01,-2.00,11.25,-0.55,2.10,-0.57
-1.29,-1.49,12.47,-0.77,2.06,-0.66
-1.69,-0.25,13.62,-0.79,1.98,-0.76
-3.15,0.28,13.79,-0.63,1.89,-0.90
-3.86,0.76,14.17,-0.48,1.90,-1.06
-4.16,1.13,14.06,-0.35,1.88,-1.20
-4.13,0.58,14.28,-0.35,1.91,-1.22
-3.65,0.19,15.85,-0.53,1.95,-1.23
-2.36,-0.30,19.38,-0.91,1.90,-1.34
-1.99,4.10,20.68,-1.07,1.68,-1.49
-2.72,5.61,20.52,-0.69,1.48,-1.58
-3.04,5.31,21.26,-0.41,1.43,-1.76
-2.28,6.99,21.86,-0.24,1.31,-1.93
-2.38,8.30,22.07,-0.08,1.17,-1.91
-2.54,9.78,22.20,0.02,1.01,-1.88
-2.87,8.81,22.82,0.11,0.86,-1.78
-2.89,8.62,23.81,-0.04,0.61,-1.89
-3.55,11.02,23.45,0.01,0.26,-2.00
-4.24,11.80,23.01,0.17,0.00,-2.06
-4.35,12.56,22.23,0.18,-0.25,-2.08
-4.70,12.84,21.35,-0.01,-0.48,-1.96
-5.34,14.14,20.45,-0.17,-0.62,-1.78
-5.85,15.15,20.02,-0.16,-0.74,-1.64
-6.29,15.74,19.74,0.03,-0.85,-1.57
-5.55,15.49,20.04,0.16,-0.99,-1.63
-5.42,16.82,19.20,0.22,-1.28,-1.65
-5.93,18.28,17.64,0.25,-1.49,-1.51
-6.43,18.44,16.74,0.30,-1.60,-1.32
-6.20,18.03,16.81,0.21,-1.72,-1.16
-6.07,18.96,16.64,0.22,-1.84,-0.97
-6.34,18.95,16.23,0.39,-1.97,-0.83
-6.34,18.72,15.71,0.55,-2.03,-0.71
-6.30,18.04,15.06,0.71,-2.11,-0.63
-6.21,16.99,14.12,0.76,-2.20,-0.59
-5.93,17.04,12.78,0.67,-2.28,-0.43
-6.14,16.91,11.85,0.62,-2.31,-0.23
-6.42,16.51,11.09,0.58,-2.32,-0.09
-6.36,16.49,10.43,0.55,-2.27,0.04
-6.42,16.40,9.89,0.58,-2.24,0.14
-6.19,16.47,9.01,0.60,-2.22,0.21
-5.87,16.51,7.89,0.51,-2.20,0.33
-5.73,17.28,7.34,0.35,-2.15,0.53
-6.02,17.90,6.64,0.24,-2.13,0.70
-6.37,19.11,6.11,0.21,-2.05,0.87
-6.62,19.50,5.13,0.29,-1.99,1.03
-6.99,19.00,3.93,0.34,-1.83,1.22
-6.67,18.76,3.20,0.36,-1.65,1.37
-6.83,18.56,2.69,0.38,-1.46,1.55
-6.55,17.98,2.24,0.37,-1.27,1.73
-6.37,17.15,2.08,0.30,-1.11,1.95
-5.93,16.61,2.46,0.19,-0.97,2.17
-6.01,15.71,1.90,0.16,-0.90,2.32
-6.33,14.45,0.87,0.12,-0.72,2.46
-6.52,13.15,0.08,0.14,-0.53,2.52
-6.77,11.77,-0.38,0.17,-0.30,2.58
-6.78,10.48,-0.39,0.17,-0.07,2.59
-6.53,10.11,0.24,0.16,0.17,2.61
-6.51,9.25,0.57,0.17,0.34,2.64
-6.45,7.87,0.29,0.10,0.51,2.69
-6.54,6.15,-0.10,-0.00,0.72,2.71
-6.87,4.04,-0.67,-0.08,0.95,2.68
-7.09,2.94,-0.11,-0.12,1.27,2.57
-6.88,2.39,1.74,0.00,1.51,2.42
-6.63,1.06,3.05,0.11,1.65,2.27
-6.45,0.17,3.97,0.13,1.81,2.17
-6.29,-1.17,4.05,0.23,1.99,2.03
-6.11,-3.86,4.86,0.36,2.22,1.80
-5.36,-5.52,6.13,0.40,2.40,1.47
-5.19,-6.87,6.95,0.35,2.52,1.20
-4.81,-7.69,8.71,0.19,2.65,0.98
-4.40,-7.76,10.53,0.06,2.70,0.75
-4.49,-7.27,11.74,0.07,2.77,0.48
-3.73,-7.33,13.22,0.13,2.84,0.17
-2.41,-7.83,14.98,0.09,2.87,-0.14
-1.06,-7.78,17.19,0.02,2.81,-0.44
-1.34,-7.82,19.06,-0.03,2.63,-0.73
-2.15,-6.68,20.25,-0.13,2.44,-1.09
-2.70,-4.58,21.61,-0.24,2.27,-1.34
-2.75,-3.13,23.15,-0.32,2.14,-1.50
-2.09,-2.12,24.93,-0.38,2.00,-1.75
-1.99,-0.14,26.03,-0.42,1.80,-1.97
-2.56,1.88,26.50,-0.35,1.60,-2.17
-2.64,4.97,27.49,-0.24,1.41,-2.34
-1.86,7.98,29.08,-0.13,1.15,-2.42
-1.21,10.15,29.80,-0.15,0.71,-2.34
-0.74,12.03,29.02,-0.36,0.36,-2.19
0.15,13.44,28.07,-0.36,0.06,-2.14
0.17,14.65,26.39,-0.15,-0.27,-2.25
-0.18,16.36,24.89,0.11,-0.65,-2.32
-1.72,18.14,22.29,0.25,-1.10,-2.23
-3.50,19.56,19.35,0.20,-1.35,-1.95
-3.27,20.47,16.59,0.04,-1.44,-1.61
-4.62,20.81,13.10,0.10,-1.44,-1.39
-4.49,21.97,10.17,0.28,-1.33,-1.38
-5.61,22.19,7.64,0.46,-1.20,-1.18
-6.29,21.95,6.52,0.55,-1.00,-0.95
-6.13,20.98,6.42,0.55,-0.84,-0.67
-5.39,17.90,7.22,0.37,-0.70,-0.26
1.55,12.00,7.86,-0.03,-0.39,-0.01
1.15,12.89,6.49,-0.07,-0.41,0.02
0.42,13.43,5.56,0.06,-0.43,0.14
-0.56,12.85,3.93,0.17,-0.40,0.20
-1.20,12.19,2.56,0.21,-0.38,0.21
-1.32,11.74,1.20,0.19,-0.20,0.33
-2.23,10.60,0.34,0.14,-0.05,0.49
-2.90,9.80,-0.34,0.06,0.19,0.64
-3.48,8.94,-0.66,0.09,0.39,0.66
-3.95,6.94,-1.44,0.13,0.64,0.64
-3.80,5.15,-1.42,0.01,0.97,0.60
-3.52,3.34,-0.25,-0.10,1.22,0.62
-3.34,1.19,1.73,-0.24,1.46,0.62
-2.63,-1.33,3.94,-0.33,1.59,0.50
-2.21,-2.95,6.11,-0.45,1.70,0.25
-1.87,-2.09,8.12,-0.46,1.85,-0.09
-1.89,-1.72,9.43,-0.29,1.99,-0.39
-1.42,-2.62,10.89,-0.23,2.11,-0.65
-1.22,-2.47,12.03,-0.27,2.08,-0.78
-2.02,-1.23,12.93,-0.41,2.01,-0.81
-2.62,0.86,13.48,-0.41,2.00,-0.72
-3.02,0.19,14.61,-0.27,2.03,-0.72
-2.25,-1.64,16.80,-0.29,1.97,-1.08
-2.18,0.43,16.90,-0.30,1.83,-1.37
-2.74,0.46,16.67,-0.15,1.75,-1.58
-2.84,1.14,16.93,-0.19,1.70,-1.69
-3.44,2.84,17.58,-0.22,1.57,-1.66
-4.13,5.52,18.14,-0.16,1.50,-1.65
-4.34,7.38,18.88,0.08,1.45,-1.58
-4.64,6.47,19.93,0.31,1.40,-1.57
-4.36,4.07,21.91,0.15,1.24,-1.79
-4.01,6.94,22.36,-0.16,0.97,-2.03
-4.75,9.89,22.69,-0.06,0.76,-2.18
-4.75,10.46,24.05,-0.03,0.47,-2.23
-5.13,12.81,24.11,-0.17,0.15,-2.16
-5.61,14.20,23.37,-0.19,-0.13,-1.93
