aX,aY,aZ,gX,gY,gZ
0.12,0.28,20.07,-0.08,-0.02,-0.00
0.34,0.45,19.96,-0.13,-0.04,-0.01
0.66,0.76,19.67,-0.09,-0.05,0.03
0.71,0.55,19.57,0.04,-0.05,0.06
0.77,0.48,19.55,0.13,-0.02,0.08
1.05,0.03,19.76,0.16,0.01,0.10
1.40,-0.19,19.53,0.13,0.02,0.09
1.72,-0.36,19.41,0.06,0.04,0.08
2.09,-0.71,19.23,-0.00,0.08,0.07
2.58,-0.69,19.04,-0.05,0.13,0.04
3.08,-0.60,19.03,-0.08,0.18,0.01
3.67,-0.57,18.92,-0.08,0.24,0.01
4.01,-0.54,18.62,-0.03,0.31,-0.01
4.71,-0.70,18.74,0.04,0.41,-0.02
5.30,-0.91,18.88,0.13,0.49,-0.06
6.14,-1.26,19.36,0.14,0.60,-0.12
7.48,-1.27,20.60,0.02,0.69,-0.23
9.35,-0.45,22.28,-0.18,0.73,-0.34
11.62,0.67,24.00,-0.33,0.65,-0.39
13.48,1.53,25.47,-0.29,0.40,-0.32
14.64,1.46,26.13,-0.04,0.02,-0.14
14.60,0.11,26.20,0.26,-0.42,-0.07
14.69,-1.05,25.44,0.31,-0.75,-0.15
14.38,-1.76,23.90,-0.01,-0.93,-0.32
14.26,0.42,22.38,-0.56,-0.88,-0.50
12.83,2.57,21.55,-0.87,-0.81,-0.40
10.85,4.78,19.90,-0.80,-0.76,-0.13
7.99,4.86,17.83,-0.35,-0.62,0.30
5.48,1.94,18.00,0.30,-0.47,0.59
1.28,-2.13,18.77,0.45,-0.49,0.57
-2.59,-4.94,18.50,-0.22,-0.41,0.44
-6.36,-5.35,18.30,-1.29,-0.22,0.15
-9.10,-1.70,17.75,-1.95,0.08,-0.15
-10.54,2.19,16.71,-1.20,0.25,-0.27
-12.19,3.55,16.04,0.40,0.41,-0.06
-13.90,-0.23,18.23,1.88,0.44,0.04
-15.87,-3.56,18.27,2.38,0.31,-0.32
-17.32,-3.94,18.60,1.69,0.38,-0.66
-17.52,-0.52,18.28,0.46,0.57,-0.74
-17.60,2.97,18.11,-0.07,0.77,-0.65
-17.00,5.75,19.28,0.07,0.81,-0.45
-16.75,6.45,20.90,0.26,0.71,-0.07
-16.94,4.89,22.23,0.22,0.51,0.31
-17.58,3.21,22.86,-0.13,0.25,0.60
-17.33,1.26,21.83,-0.51,-0.03,0.75
-16.90,-0.14,19.77,-0.86,-0.22,0.78
-16.15,-0.33,17.92,-0.97,-0.39,0.80
-15.28,0.06,17.49,-0.79,-0.52,0.94
-14.79,-0.07,16.35,-0.30,-0.50,1.08
-13.41,-1.15,15.94,-0.00,-0.35,1.14
-12.10,-3.32,15.98,0.25,-0.29,1.10
-11.22,-3.99,15.20,0.32,-0.22,0.88
-9.28,-1.58,15.28,0.22,0.02,0.71
-6.69,1.45,16.12,0.45,0.16,0.78
-3.69,2.67,17.18,0.84,0.15,1.04
-1.97,0.25,17.82,1.31,0.12,1.24
-0.40,-2.36,17.93,1.54,0.19,1.10
1.05,-3.33,18.07,1.44,0.42,0.72
3.31,-3.00,18.74,1.22,0.67,0.35
4.98,-1.34,19.15,1.06,0.80,0.06
7.53,1.66,19.66,1.07,0.92,-0.06
10.92,4.44,20.97,1.23,1.10,0.09
13.08,4.31,22.74,1.69,1.23,0.34
14.74,2.79,24.72,2.08,1.31,0.44
16.15,0.71,26.60,2.12,1.27,0.44
17.35,-1.00,27.30,1.81,1.07,0.32
18.51,-1.52,27.60,1.33,0.80,0.20
20.00,-1.95,28.03,0.96,0.48,0.10
21.93,-1.53,28.26,0.73,0.17,0.02
23.13,-1.82,28.28,0.67,-0.13,0.05
22.94,-2.44,27.71,0.65,-0.35,0.08
22.04,-2.39,26.73,0.62,-0.51,0.08
20.81,-2.80,25.90,0.51,-0.64,0.06
19.54,-2.80,25.25,0.17,-0.81,-0.05
18.84,-1.83,24.64,-0.43,-0.99,-0.13
17.72,0.15,23.77,-1.03,-1.17,-0.13
16.09,1.90,23.08,-1.22,-1.29,-0.10
14.65,3.88,22.45,-1.10,-1.35,-0.04
12.71,3.47,22.45,-0.76,-1.40,0.14
10.53,1.44,22.34,-0.68,-1.47,0.17
7.58,0.53,20.98,-1.15,-1.45,0.15
3.31,0.87,19.02,-1.64,-1.11,0.11
1.87,3.12,20.01,-1.71,-0.65,0.21
-0.74,1.63,22.14,-1.33,-0.65,0.43
-5.31,-2.03,21.37,-1.11,-0.86,0.23
-8.08,-0.99,19.80,-1.37,-0.84,-0.08
-10.23,3.15,17.47,-1.40,-0.65,-0.07
-13.80,4.60,15.47,-0.76,-0.35,0.20
-16.69,-0.18,16.00,0.04,0.06,0.17
