aX,aY,aZ,gX,gY,gZ
0.39,9.61,10.29,0.04,0.28,-0.12
0.44,9.98,10.57,0.06,0.25,-0.11
0.33,9.95,10.54,0.10,0.25,-0.08
0.26,9.81,10.56,0.11,0.26,-0.07
0.15,9.95,10.81,0.13,0.27,-0.06
0.04,9.85,11.11,0.15,0.28,-0.03
0.07,9.91,11.59,0.18,0.29,-0.02
0.01,10.10,12.12,0.24,0.29,-0.01
0.06,10.18,12.55,0.34,0.29,-0.01
0.14,10.15,13.23,0.43,0.32,-0.02
0.13,10.46,14.25,0.46,0.34,-0.01
-0.03,10.73,15.59,0.43,0.30,0.06
-0.44,10.35,17.50,0.35,0.16,0.07
-0.20,11.26,18.58,0.29,-0.06,0.05
0.02,11.80,18.90,0.36,-0.23,0.11
0.56,11.65,20.33,0.36,-0.37,0.20
0.62,10.69,21.82,0.32,-0.60,0.23
0.54,10.13,22.82,0.20,-0.94,0.16
0.63,10.77,22.77,0.07,-1.29,0.14
0.30,10.96,22.04,-0.04,-1.58,0.22
-0.21,11.06,21.83,-0.14,-1.85,0.29
-0.67,10.77,21.04,-0.13,-2.16,0.32
-1.30,10.30,18.72,-0.05,-2.40,0.29
-1.41,9.57,16.94,0.12,-2.54,0.19
-1.16,8.51,15.35,0.10,-2.65,0.12
-1.05,8.23,14.13,-0.22,-2.79,0.07
-1.38,8.68,12.31,-0.65,-2.98,0.09
-1.98,9.34,10.38,-0.95,-3.13,0.14
-2.64,9.46,7.77,-1.05,-3.20,0.15
-3.37,9.54,4.66,-0.89,-3.13,0.04
-3.15,9.42,1.59,-0.57,-2.96,-0.15
-3.01,9.60,-2.04,-0.22,-2.71,-0.33
-3.34,10.44,-6.09,-0.02,-2.44,-0.40
-4.46,11.22,-10.52,-0.00,-2.15,-0.32
-5.80,11.39,-14.83,-0.10,-1.67,-0.16
-5.92,11.97,-16.99,-0.19,-0.98,0.01
-5.48,11.31,-17.89,-0.23,-0.39,0.14
-4.75,9.76,-18.21,-0.36,0.22,0.25
-4.47,8.35,-18.55,-0.60,0.72,0.31
-4.44,8.04,-18.79,-0.75,1.27,0.34
