aX,aY,aZ,gX,gY,gZ
-0.16,-1.07,0.77,-0.00,-0.33,0.05
-0.17,-0.94,0.73,-0.00,-0.39,0.00
-0.19,-0.80,0.48,-0.08,-0.42,-0.01
-0.12,-0.42,0.00,-0.15,-0.44,0.03
-0.14,-0.62,-0.59,-0.17,-0.46,0.05
-0.08,-0.21,-0.89,-0.22,-0.46,0.05
0.03,0.06,-1.30,-0.21,-0.50,0.10
0.32,-0.17,-1.74,-0.23,-0.52,0.16
0.26,-0.61,-2.42,-0.24,-0.53,0.20
0.35,-1.07,-3.32,-0.20,-0.57,0.17
-0.01,-1.31,-4.71,-0.10,-0.63,0.11
-0.85,-1.51,-6.67,-0.01,-0.71,0.00
-1.39,-1.09,-8.81,0.06,-0.71,-0.10
-1.87,-0.75,-10.96,0.14,-0.64,-0.13
-1.74,-0.93,-13.03,0.19,-0.51,-0.11
-2.04,-1.68,-15.41,0.22,-0.35,-0.07
-2.55,-3.13,-18.48,0.28,-0.06,-0.11
-3.45,-3.64,-20.14,0.25,0.49,-0.24
-4.37,-3.41,-20.52,0.20,1.08,-0.31
-5.15,-3.24,-19.88,0.16,1.64,-0.37
-5.75,-2.35,-19.33,0.10,2.18,-0.39
-5.77,-2.34,-17.70,0.15,2.73,-0.39
-6.06,-2.31,-14.43,0.12,3.22,-0.41
-6.01,-2.00,-10.94,-0.01,3.57,-0.40
-5.67,-0.99,-7.52,-0.07,3.75,-0.36
-5.90,-0.58,-5.00,-0.02,3.82,-0.30
-5.99,0.07,-2.33,0.18,3.86,-0.36
-6.04,0.58,0.25,0.39,3.87,-0.39
-6.23,0.64,2.99,0.54,3.93,-0.39
-5.59,0.03,6.68,0.61,4.06,-0.43
-4.97,-0.52,10.98,0.52,4.13,-0.45
-3.89,-0.59,15.63,0.31,4.04,-0.51
-2.74,0.43,19.85,0.18,3.69,-0.54
-1.73,1.26,23.03,0.15,3.20,-0.48
-0.71,1.26,24.83,0.12,2.64,-0.34
-0.19,0.14,25.34,0.00,2.08,-0.25
-0.23,-0.26,25.06,-0.16,1.62,-0.32
-0.57,0.01,24.80,-0.23,1.29,-0.42
-0.75,0.23,25.10,-0.29,1.01,-0.49
-0.72,1.25,26.13,-0.42,0.68,-0.51
-0.31,2.63,26.89,-0.53,0.23,-0.45
-0.09,3.18,26.84,-0.47,-0.32,-0.35
0.02,3.10,25.43,-0.32,-0.90,-0.33
-0.02,2.98,23.91,-0.17,-1.32,-0.36
-0.20,2.71,23.21,-0.15,-1.63,-0.35
-0.70,3.04,22.53,-0.30,-1.94,-0.28
